pc11_s_id,pc11_d_id,pc11_sd_id,year,post_ror_data_entry_block_any,post_ror_dist_softw_available_block_any,post_ror_aadhaar_link_block_any,post_mutation_computerized_block_any,post_digital_ror_issued_block_any,block_id,mean_night,count_night,sum_night,sd_name,frac_12,per_aggriculture,per_treecover,per_greencover,per_built
20,347,2520,2010,0,0,0,0,0,2242,0.0043451116054872,790,3.43263816833496,Itkhori,0.768936276435852,76.8936276435852,3.00952076911926,73.0512237548828,22.8196678161621
20,347,2520,2011,0,0,0,0,0,2242,0.0085859449603889,790,6.78289651870728,Itkhori,0.764954030513763,76.4954030513763,3.55573511123657,68.2310791015625,27.2541484832764
20,347,2520,2012,0,0,0,0,0,2242,0.0085859449603889,790,6.78289651870728,Itkhori,0.784300148487091,78.4300148487091,4.71166658401489,75.3428726196289,18.89990234375
20,347,2520,2013,0,0,0,0,0,2242,0.0820798463459256,790,64.8430786132813,Itkhori,0.776786029338837,77.6786029338837,5.19125986099243,71.5352783203125,22.2258052825928
20,347,2520,2014,0,0,0,0,0,2242,0.0415009269231482,790,32.7857322692871,Itkhori,0.779803097248077,77.9803097248077,7.7033748626709,72.0466461181641,19.290943145752
20,347,2520,2015,0,0,0,0,0,2242,0.046355911448032,790,36.6211700439453,Itkhori,0.809278845787048,80.9278845787048,6.06326961517334,72.6813888549805,20.0818862915039
20,347,2520,2016,0,0,0,0,0,2242,0.113209533691406,790,89.435531616211,Itkhori,0.818593323230743,81.8593323230743,3.36139154434204,74.0213088989258,21.5476036071777
20,347,2520,2017,0,0,0,0,0,2242,0.278774329076839,790,220.231719970703,Itkhori,0.824105799198151,82.4105799198151,6.47816038131714,73.4161605834961,19.0769481658936
20,347,2520,2018,1,1,1,1,1,2242,0.367367090152789,790,290.220001220703,Itkhori,0.807764768600464,80.7764768600464,4.05823421478272,74.3968124389649,20.635856628418
20,347,2520,2019,1,1,1,1,1,2242,0.391828014592456,785,307.584991455078,Itkhori,0.809119880199432,80.9119880199432,8.25075531005859,75.0895538330078,15.4862356185913
20,347,2520,2020,1,1,1,1,1,2242,0.449949033700736,785,353.209991455078,Itkhori,0.77300363779068,77.300363779068,7.26618814468384,73.9597625732422,17.7284832000732
20,347,2520,2021,1,1,1,1,1,2242,0.523719739002787,785,411.119995117187,Itkhori,0.738840639591217,73.8840639591217,10.9631309509277,71.3164443969727,16.8606033325195
20,347,2521,2000,0,0,0,0,0,2243,0.0121775678841464,664,8.08590507507324,Mayur Hand,,,3.50130796432495,65.5483474731445,30.7304286956787
20,347,2521,2001,0,0,0,0,0,2243,0.0121775678841464,664,8.08590507507324,Mayur Hand,0.836656868457794,83.6656868457794,2.56274628639221,65.8174896240234,31.4164867401123
20,347,2521,2002,0,0,0,0,0,2243,0.0121775678841464,664,8.08590507507324,Mayur Hand,0.958253264427185,95.8253264427185,2.98179697990418,68.8054656982422,28.0694484710693
